model,userId,K,precision,recall,ndcg,num_relevant_test_items,num_recommendations
Content-Based,5531,5,0.0,0.0,0.0,23,80
Content-Based,5531,10,0.0,0.0,0.0,23,80
Content-Based,5531,20,0.0,0.0,0.0,23,80
Content-Based,5531,40,0.025,0.043478260869565216,0.20584683246043448,23,80
Content-Based,5531,80,0.0625,0.21739130434782608,0.29260052523394386,23,80
Content-Based,711,5,0.0,0.0,0.0,19,80
Content-Based,711,10,0.0,0.0,0.0,19,80
Content-Based,711,20,0.0,0.0,0.0,19,80
Content-Based,711,40,0.0,0.0,0.0,19,80
Content-Based,711,80,0.0125,0.05263157894736842,0.16207652439312228,19,80
Content-Based,4925,5,0.0,0.0,0.0,11,80
Content-Based,4925,10,0.0,0.0,0.0,11,80
Content-Based,4925,20,0.0,0.0,0.0,11,80
Content-Based,4925,40,0.025,0.09090909090909091,0.21274605355336318,11,80
Content-Based,4925,80,0.0125,0.09090909090909091,0.21274605355336318,11,80
Content-Based,2155,5,0.0,0.0,0.0,13,80
Content-Based,2155,10,0.0,0.0,0.0,13,80
Content-Based,2155,20,0.05,0.07692307692307693,0.23540891336663824,13,80
Content-Based,2155,40,0.025,0.07692307692307693,0.23540891336663824,13,80
Content-Based,2155,80,0.0375,0.23076923076923078,0.2788835134369721,13,80
Content-Based,1273,5,0.0,0.0,0.0,49,80
Content-Based,1273,10,0.0,0.0,0.0,49,80
Content-Based,1273,20,0.0,0.0,0.0,49,80
Content-Based,1273,40,0.0,0.0,0.0,49,80
Content-Based,1273,80,0.0125,0.02040816326530612,0.1854490234153689,49,80
Content-Based,2318,5,0.0,0.0,0.0,2,80
Content-Based,2318,10,0.0,0.0,0.0,2,80
Content-Based,2318,20,0.0,0.0,0.0,2,80
Content-Based,2318,40,0.0,0.0,0.0,2,80
Content-Based,2318,80,0.0,0.0,0.0,2,80
Content-Based,2096,5,0.0,0.0,0.0,21,80
Content-Based,2096,10,0.0,0.0,0.0,21,80
Content-Based,2096,20,0.0,0.0,0.0,21,80
Content-Based,2096,40,0.0,0.0,0.0,21,80
Content-Based,2096,80,0.0,0.0,0.0,21,80
Content-Based,3129,5,0.0,0.0,0.0,47,80
Content-Based,3129,10,0.0,0.0,0.0,47,80
Content-Based,3129,20,0.0,0.0,0.0,47,80
Content-Based,3129,40,0.0,0.0,0.0,47,80
Content-Based,3129,80,0.0,0.0,0.0,47,80
Content-Based,743,5,0.0,0.0,0.0,14,80
Content-Based,743,10,0.0,0.0,0.0,14,80
Content-Based,743,20,0.0,0.0,0.0,14,80
Content-Based,743,40,0.0,0.0,0.0,14,80
Content-Based,743,80,0.0,0.0,0.0,14,80
Content-Based,297,5,0.2,0.06666666666666667,1.0,15,80
Content-Based,297,10,0.1,0.06666666666666667,1.0,15,80
Content-Based,297,20,0.05,0.06666666666666667,1.0,15,80
Content-Based,297,40,0.025,0.06666666666666667,1.0,15,80
Content-Based,297,80,0.0125,0.06666666666666667,1.0,15,80
Content-Based,3697,5,0.0,0.0,0.0,15,80
Content-Based,3697,10,0.0,0.0,0.0,15,80
Content-Based,3697,20,0.0,0.0,0.0,15,80
Content-Based,3697,40,0.0,0.0,0.0,15,80
Content-Based,3697,80,0.025,0.13333333333333333,0.2226524449963493,15,80
Content-Based,1143,5,0.0,0.0,0.0,11,80
Content-Based,1143,10,0.0,0.0,0.0,11,80
Content-Based,1143,20,0.0,0.0,0.0,11,80
Content-Based,1143,40,0.0,0.0,0.0,11,80
Content-Based,1143,80,0.0,0.0,0.0,11,80
Content-Based,409,5,0.2,0.021739130434782608,0.38685280723454163,46,80
Content-Based,409,10,0.1,0.021739130434782608,0.38685280723454163,46,80
Content-Based,409,20,0.05,0.021739130434782608,0.38685280723454163,46,80
Content-Based,409,40,0.025,0.021739130434782608,0.38685280723454163,46,80
Content-Based,409,80,0.025,0.043478260869565216,0.343741444950847,46,80
Content-Based,5287,5,0.0,0.0,0.0,22,80
Content-Based,5287,10,0.0,0.0,0.0,22,80
Content-Based,5287,20,0.0,0.0,0.0,22,80
Content-Based,5287,40,0.0,0.0,0.0,22,80
Content-Based,5287,80,0.0,0.0,0.0,22,80
Content-Based,3952,5,0.0,0.0,0.0,9,80
Content-Based,3952,10,0.0,0.0,0.0,9,80
Content-Based,3952,20,0.0,0.0,0.0,9,80
Content-Based,3952,40,0.0,0.0,0.0,9,80
Content-Based,3952,80,0.0125,0.1111111111111111,0.18428883314870617,9,80
Content-Based,1621,5,0.0,0.0,0.0,1,80
Content-Based,1621,10,0.0,0.0,0.0,1,80
Content-Based,1621,20,0.0,0.0,0.0,1,80
Content-Based,1621,40,0.0,0.0,0.0,1,80
Content-Based,1621,80,0.0,0.0,0.0,1,80
Content-Based,2055,5,0.0,0.0,0.0,26,80
Content-Based,2055,10,0.0,0.0,0.0,26,80
Content-Based,2055,20,0.0,0.0,0.0,26,80
Content-Based,2055,40,0.075,0.11538461538461539,0.2713243195354183,26,80
Content-Based,2055,80,0.0625,0.19230769230769232,0.31337384950474756,26,80
Content-Based,5749,5,0.0,0.0,0.0,39,80
Content-Based,5749,10,0.0,0.0,0.0,39,80
Content-Based,5749,20,0.0,0.0,0.0,39,80
Content-Based,5749,40,0.0,0.0,0.0,39,80
Content-Based,5749,80,0.0125,0.02564102564102564,0.17905223175104137,39,80
Content-Based,5830,5,0.2,0.1,1.0,10,80
Content-Based,5830,10,0.1,0.1,1.0,10,80
Content-Based,5830,20,0.05,0.1,1.0,10,80
Content-Based,5830,40,0.025,0.1,1.0,10,80
Content-Based,5830,80,0.0125,0.1,1.0,10,80
Content-Based,866,5,0.2,0.3333333333333333,1.0,3,80
Content-Based,866,10,0.1,0.3333333333333333,1.0,3,80
Content-Based,866,20,0.05,0.3333333333333333,1.0,3,80
Content-Based,866,40,0.025,0.3333333333333333,1.0,3,80
Content-Based,866,80,0.0125,0.3333333333333333,1.0,3,80
Content-Based,806,5,0.0,0.0,0.0,13,80
Content-Based,806,10,0.0,0.0,0.0,13,80
Content-Based,806,20,0.0,0.0,0.0,13,80
Content-Based,806,40,0.025,0.07692307692307693,0.22106472945750374,13,80
Content-Based,806,80,0.025,0.15384615384615385,0.23735686642893822,13,80
Content-Based,656,5,0.0,0.0,0.0,25,80
Content-Based,656,10,0.0,0.0,0.0,25,80
Content-Based,656,20,0.0,0.0,0.0,25,80
Content-Based,656,40,0.0,0.0,0.0,25,80
Content-Based,656,80,0.0,0.0,0.0,25,80
Content-Based,4820,5,0.0,0.0,0.0,6,80
Content-Based,4820,10,0.0,0.0,0.0,6,80
Content-Based,4820,20,0.0,0.0,0.0,6,80
Content-Based,4820,40,0.0,0.0,0.0,6,80
Content-Based,4820,80,0.0,0.0,0.0,6,80
Content-Based,2517,5,0.0,0.0,0.0,5,80
Content-Based,2517,10,0.0,0.0,0.0,5,80
Content-Based,2517,20,0.0,0.0,0.0,5,80
Content-Based,2517,40,0.0,0.0,0.0,5,80
Content-Based,2517,80,0.0125,0.2,0.17219543379409813,5,80
Content-Based,5672,5,0.0,0.0,0.0,3,80
Content-Based,5672,10,0.0,0.0,0.0,3,80
Content-Based,5672,20,0.0,0.0,0.0,3,80
Content-Based,5672,40,0.0,0.0,0.0,3,80
Content-Based,5672,80,0.0,0.0,0.0,3,80
Content-Based,24,5,0.0,0.0,0.0,22,80
Content-Based,24,10,0.0,0.0,0.0,22,80
Content-Based,24,20,0.0,0.0,0.0,22,80
Content-Based,24,40,0.0,0.0,0.0,22,80
Content-Based,24,80,0.0,0.0,0.0,22,80
Content-Based,1422,5,0.0,0.0,0.0,35,80
Content-Based,1422,10,0.0,0.0,0.0,35,80
Content-Based,1422,20,0.0,0.0,0.0,35,80
Content-Based,1422,40,0.0,0.0,0.0,35,80
Content-Based,1422,80,0.0125,0.02857142857142857,0.16260831227163416,35,80
Content-Based,5656,5,0.0,0.0,0.0,1,80
Content-Based,5656,10,0.0,0.0,0.0,1,80
Content-Based,5656,20,0.0,0.0,0.0,1,80
Content-Based,5656,40,0.0,0.0,0.0,1,80
Content-Based,5656,80,0.0,0.0,0.0,1,80
Content-Based,5729,5,0.0,0.0,0.0,12,80
Content-Based,5729,10,0.0,0.0,0.0,12,80
Content-Based,5729,20,0.0,0.0,0.0,12,80
Content-Based,5729,40,0.0,0.0,0.0,12,80
Content-Based,5729,80,0.0125,0.08333333333333333,0.17376534287144002,12,80
Content-Based,2438,5,0.0,0.0,0.0,18,80
Content-Based,2438,10,0.0,0.0,0.0,18,80
Content-Based,2438,20,0.0,0.0,0.0,18,80
Content-Based,2438,40,0.0,0.0,0.0,18,80
Content-Based,2438,80,0.0125,0.05555555555555555,0.16544255391905832,18,80
Content-Based,4163,5,0.0,0.0,0.0,4,80
Content-Based,4163,10,0.0,0.0,0.0,4,80
Content-Based,4163,20,0.0,0.0,0.0,4,80
Content-Based,4163,40,0.0,0.0,0.0,4,80
Content-Based,4163,80,0.0,0.0,0.0,4,80
Content-Based,1631,5,0.0,0.0,0.0,22,80
Content-Based,1631,10,0.0,0.0,0.0,22,80
Content-Based,1631,20,0.0,0.0,0.0,22,80
Content-Based,1631,40,0.0,0.0,0.0,22,80
Content-Based,1631,80,0.0,0.0,0.0,22,80
Content-Based,2519,5,0.0,0.0,0.0,6,80
Content-Based,2519,10,0.0,0.0,0.0,6,80
Content-Based,2519,20,0.0,0.0,0.0,6,80
Content-Based,2519,40,0.025,0.16666666666666666,0.1905514124267734,6,80
Content-Based,2519,80,0.0125,0.16666666666666666,0.1905514124267734,6,80
Content-Based,3588,5,0.0,0.0,0.0,40,80
Content-Based,3588,10,0.0,0.0,0.0,40,80
Content-Based,3588,20,0.0,0.0,0.0,40,80
Content-Based,3588,40,0.0,0.0,0.0,40,80
Content-Based,3588,80,0.0625,0.125,0.27882875054767614,40,80
Content-Based,2859,5,0.0,0.0,0.0,28,80
Content-Based,2859,10,0.0,0.0,0.0,28,80
Content-Based,2859,20,0.0,0.0,0.0,28,80
Content-Based,2859,40,0.0,0.0,0.0,28,80
Content-Based,2859,80,0.0,0.0,0.0,28,80
Content-Based,5387,5,0.0,0.0,0.0,76,80
Content-Based,5387,10,0.0,0.0,0.0,76,80
Content-Based,5387,20,0.0,0.0,0.0,76,80
Content-Based,5387,40,0.025,0.013157894736842105,0.1905514124267734,76,80
Content-Based,5387,80,0.025,0.02631578947368421,0.22022071173192198,76,80
Content-Based,5636,5,0.0,0.0,0.0,68,80
Content-Based,5636,10,0.1,0.014705882352941176,0.3562071871080222,68,80
Content-Based,5636,20,0.05,0.014705882352941176,0.3562071871080222,68,80
Content-Based,5636,40,0.025,0.014705882352941176,0.3562071871080222,68,80
Content-Based,5636,80,0.025,0.029411764705882353,0.3213847591640609,68,80
Content-Based,4492,5,0.0,0.0,0.0,3,80
Content-Based,4492,10,0.0,0.0,0.0,3,80
Content-Based,4492,20,0.0,0.0,0.0,3,80
Content-Based,4492,40,0.0,0.0,0.0,3,80
Content-Based,4492,80,0.0,0.0,0.0,3,80
Content-Based,4745,5,0.0,0.0,0.0,9,80
Content-Based,4745,10,0.0,0.0,0.0,9,80
Content-Based,4745,20,0.0,0.0,0.0,9,80
Content-Based,4745,40,0.0,0.0,0.0,9,80
Content-Based,4745,80,0.0,0.0,0.0,9,80
Content-Based,2968,5,0.0,0.0,0.0,36,80
Content-Based,2968,10,0.0,0.0,0.0,36,80
Content-Based,2968,20,0.0,0.0,0.0,36,80
Content-Based,2968,40,0.0,0.0,0.0,36,80
Content-Based,2968,80,0.0,0.0,0.0,36,80
Content-Based,255,5,0.4,0.05128205128205128,0.6509209298071326,39,80
Content-Based,255,10,0.2,0.05128205128205128,0.6509209298071326,39,80
Content-Based,255,20,0.15,0.07692307692307693,0.6183049132644641,39,80
Content-Based,255,40,0.1,0.10256410256410256,0.5994943959417866,39,80
Content-Based,255,80,0.075,0.15384615384615385,0.5644811782422838,39,80
Content-Based,2551,5,0.0,0.0,0.0,6,80
Content-Based,2551,10,0.0,0.0,0.0,6,80
Content-Based,2551,20,0.0,0.0,0.0,6,80
Content-Based,2551,40,0.025,0.16666666666666666,0.2037950470905062,6,80
Content-Based,2551,80,0.05,0.6666666666666666,0.28771047841378844,6,80
Content-Based,1194,5,0.0,0.0,0.0,59,80
Content-Based,1194,10,0.0,0.0,0.0,59,80
Content-Based,1194,20,0.0,0.0,0.0,59,80
Content-Based,1194,40,0.05,0.03389830508474576,0.2550837952647986,59,80
Content-Based,1194,80,0.075,0.1016949152542373,0.3360000579988055,59,80
Content-Based,222,5,0.0,0.0,0.0,12,80
Content-Based,222,10,0.0,0.0,0.0,12,80
Content-Based,222,20,0.05,0.08333333333333333,0.23981246656813146,12,80
Content-Based,222,40,0.05,0.16666666666666666,0.26563919705105826,12,80
Content-Based,222,80,0.0375,0.25,0.2844807810367602,12,80
Content-Based,1742,5,0.0,0.0,0.0,6,80
Content-Based,1742,10,0.0,0.0,0.0,6,80
Content-Based,1742,20,0.0,0.0,0.0,6,80
Content-Based,1742,40,0.0,0.0,0.0,6,80
Content-Based,1742,80,0.0,0.0,0.0,6,80
Content-Based,4251,5,0.0,0.0,0.0,10,80
Content-Based,4251,10,0.0,0.0,0.0,10,80
Content-Based,4251,20,0.0,0.0,0.0,10,80
Content-Based,4251,40,0.0,0.0,0.0,10,80
Content-Based,4251,80,0.0,0.0,0.0,10,80
Content-Based,4223,5,0.0,0.0,0.0,12,80
Content-Based,4223,10,0.0,0.0,0.0,12,80
Content-Based,4223,20,0.0,0.0,0.0,12,80
Content-Based,4223,40,0.0,0.0,0.0,12,80
Content-Based,4223,80,0.0,0.0,0.0,12,80
Content-Based,1162,5,0.0,0.0,0.0,19,80
Content-Based,1162,10,0.0,0.0,0.0,19,80
Content-Based,1162,20,0.05,0.05263157894736842,0.27023815442731974,19,80
Content-Based,1162,40,0.05,0.10526315789473684,0.3031902370792268,19,80
Content-Based,1162,80,0.025,0.10526315789473684,0.3031902370792268,19,80
Content-Based,1401,5,0.0,0.0,0.0,9,80
Content-Based,1401,10,0.0,0.0,0.0,9,80
Content-Based,1401,20,0.0,0.0,0.0,9,80
Content-Based,1401,40,0.0,0.0,0.0,9,80
Content-Based,1401,80,0.0,0.0,0.0,9,80
Content-Based,4354,5,0.0,0.0,0.0,73,80
Content-Based,4354,10,0.1,0.0136986301369863,0.3562071871080222,73,80
